datetime,假日,周末,早高峰,晚高峰,阵雨,晴,雷阵雨,多云,阴,小雨,雨夹雪,中雨,大雨,小到中雨,暴雨,中到大雨,实际人数,滤波人数,测试集,BP_NO,BP_YES,RNN_NO,RNN_YES,FBP_NO,FBP_YES,FRNN_NO,FRNN_YES
2017-03-02 19:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5673431059608433,0,2.0285503410377714e-07,0.5408446192741394,0.018412277102470398,0.5199176669120789,9.426525338085412e-09,0.5460740327835083,0.016485830768942833,0.5062927603721619
2017-03-02 20:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.43080276368785286,0,0.005307614337652922,0.48057201504707336,0.0634348914027214,0.4896221160888672,4.292045196052641e-05,0.4123322069644928,0.0686589777469635,0.48396745324134827
2017-03-02 21:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3271230746459464,0,0.34282246232032776,0.3902066648006439,0.1301102489233017,0.4779689311981201,0.012164313346147537,0.3312963545322418,0.16989120841026306,0.5042346119880676
2017-03-02 22:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.7297281042454336,0,0.12848226726055145,0.6436334252357483,0.44573667645454407,0.5610812902450562,0.23137366771697998,0.45915278792381287,0.6059249639511108,0.611787736415863
2017-03-02 23:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1.2761059458763735,0,1.5313760042190552,1.2315906286239624,1.0360124111175537,0.862102210521698,3.1361260414123535,1.0276042222976685,1.01665198802948,0.968213677406311
2017-03-03 00:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.209656561090565,0,2.194993734359741,1.8265907764434814,1.7999552488327026,1.3816261291503906,2.7732648849487305,1.4764987230300903,1.9445427656173706,1.6173267364501953
2017-03-03 01:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1.6405318169393044,0,2.0004541873931885,1.8233215808868408,2.1212308406829834,1.4440898895263672,2.5660183429718018,1.6136653423309326,2.147413969039917,1.834360122680664
2017-03-03 02:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2.6897087111138167,0,3.904493808746338,2.674079179763794,3.661245346069336,1.9418425559997559,5.181939601898193,2.4834043979644775,3.7325775623321533,2.430345058441162
2017-03-03 03:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3.9677166441190717,0,3.956831932067871,3.1768691539764404,3.6561899185180664,2.733325958251953,9.011874198913574,3.2003977298736572,3.7021098136901855,3.228280782699585
2017-03-03 04:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.253487384787532,0,3.9043095111846924,4.109042644500732,3.7370219230651855,3.8443915843963623,5.368126392364502,3.7807438373565674,3.5953869819641113,4.278583526611328
2017-03-03 05:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3.433147782386953,0,3.9797322750091553,3.634455442428589,3.683490037918091,3.2162981033325195,5.034931182861328,3.481821060180664,3.6966335773468018,3.6757893562316895
2017-03-03 06:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3.3289037264699624,0,3.5302734375,3.8235433101654053,4.425442695617676,3.3876023292541504,4.610759258270264,3.4241559505462646,4.476886749267578,3.7473106384277344
2017-03-03 07:00:00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,3.9717464711865467,0,2.8769338130950928,3.560637950897217,3.489036798477173,3.245877742767334,2.753998279571533,3.28902268409729,3.6400492191314697,3.4416048526763916
2017-03-03 08:00:00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3.497213626382836,0,2.417550563812256,3.9524154663085938,3.0049543380737305,3.699277639389038,2.9592642784118652,3.8018136024475098,3.0644545555114746,3.8885180950164795
2017-03-03 09:00:00,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4.340216115243366,0,3.966949224472046,3.7094318866729736,3.1534087657928467,3.46689510345459,6.461511135101318,3.787196159362793,3.8798418045043945,3.6801962852478027
2017-03-03 10:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.5363388021160875,0,3.753329038619995,4.230917453765869,3.298762798309326,4.104126930236816,4.463221549987793,4.1217265129089355,3.3862223625183105,4.234498023986816
2017-03-03 11:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,4.3699251813421105,0,4.340906143188477,3.5021631717681885,1.6467443704605103,3.2830123901367188,4.130927085876465,3.5579333305358887,1.7165474891662598,3.472886323928833
2017-03-03 12:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4.280896672235073,0,3.275571346282959,4.035998344421387,2.3348958492279053,3.769788980484009,3.728111505508423,4.063239574432373,2.209796190261841,4.059802532196045
2017-03-03 13:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3.7319618054072454,0,2.279128074645996,3.852614641189575,1.5798250436782837,3.6312131881713867,5.5079569816589355,3.895141839981079,2.0118582248687744,3.939523696899414
2017-03-03 14:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3.7964695546817295,0,0.01365908794105053,3.310081958770752,0.5753061175346375,2.9860851764678955,1.4892805814743042,3.293548583984375,0.7550815343856812,3.2816691398620605
2017-03-03 15:00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.8827874336179242,0,0.30875924229621887,3.200019359588623,0.384604275226593,2.904581308364868,0.5137724876403809,3.116626024246216,0.6125474572181702,3.1135635375976562
2017-03-03 16:00:00,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.188997769566497,0,0.006142856553196907,2.5049805641174316,0.1510980725288391,2.261173963546753,2.592635290889168e-15,2.438378095626831,4.623469180842221e-07,2.1740427017211914
